日期,收盘,开盘,高,低,,
2024/1/31,2067.40 ,2055.30 ,2074.60 ,2048.80 ,,
2024/1/30,2050.90 ,2051.50 ,2068.00 ,2047.10 ,,
2024/1/29,2034.90 ,2035.80 ,2046.50 ,2028.20 ,,
2024/1/26,2026.60 ,2028.90 ,2035.70 ,2025.40 ,,
2024/1/25,2027.10 ,2025.40 ,2034.00 ,2017.00 ,,
2024/1/24,2025.40 ,2039.40 ,2046.20 ,2021.90 ,,
2024/1/23,2035.20 ,2032.80 ,2045.40 ,2031.50 ,,
2024/1/22,2031.50 ,2040.40 ,2043.00 ,2027.40 ,,
2024/1/19,2038.50 ,2033.70 ,2050.10 ,2031.80 ,,
2024/1/18,2031.10 ,2021.30 ,2034.20 ,2017.50 ,,
2024/1/17,2015.90 ,2040.80 ,2041.00 ,2014.60 ,,
2024/1/16,2039.70 ,2060.00 ,2069.70 ,2037.50 ,,
2024/1/15,2057.85 ,2051.30 ,2062.50 ,2049.50 ,,
2024/1/12,2061.10 ,2045.00 ,2075.80 ,2044.20 ,,
2024/1/11,2028.90 ,2039.40 ,2060.10 ,2027.40 ,,
2024/1/10,2037.50 ,2046.20 ,2052.00 ,2036.40 ,,
2024/1/9,2033.00 ,2034.50 ,2048.60 ,2031.90 ,,
2024/1/8,2033.50 ,2052.60 ,2053.30 ,2022.70 ,,
2024/1/5,2049.80 ,2051.40 ,2071.10 ,2030.80 ,,
2024/1/4,2050.00 ,2049.30 ,2058.10 ,2043.30 ,,
2024/1/3,2042.80 ,2067.90 ,2074.30 ,2038.30 ,,
2024/1/2,2073.40 ,2072.70 ,2088.10 ,2064.30 ,,
2024/1/1,2072.90 ,2071.75 ,2075.70 ,2071.75 ,,
2023/12/29,2071.80 ,2076.10 ,2084.10 ,2067.60 ,,
2023/12/28,2083.50 ,2089.50 ,2098.20 ,2074.60 ,,
2023/12/27,2083.40 ,2068.00 ,2085.30 ,2063.30 ,,
2023/12/26,2060.40 ,2056.30 ,2069.60 ,2056.30 ,,
2023/12/25,2066.65 ,2065.30 ,2067.60 ,2065.30 ,,
2023/12/22,2059.60 ,2051.50 ,2072.30 ,2049.40 ,,
2023/12/21,2041.80 ,2034.70 ,2048.00 ,2034.00 ,,
2023/12/20,2038.10 ,2043.50 ,2045.90 ,2031.60 ,,
2023/12/19,2042.60 ,2031.00 ,2050.00 ,2025.40 ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
